,Retrieve,Internet,ChatMemory,RunCode
"Why is `range(1, 10)` skipping the number 10 in Python?",0,1,0,1
What does `len([])` return in Python?,0,0,0,1
Fix this: `for(i = 0; i < 5; i++) print(i)`,0,1,0,1
What is wrong with this SQL query: `SELECT * FROM users WHERE id =`,0,1,0,1
"Explain this: `const [a, b] = [1, 2];`",0,1,0,1
Why does `null == undefined` return true in JS?,0,1,0,1
What's the output of `print('Hello' + str(5))`?,0,0,0,1
Fix this error: `TypeError: 'int' object is not iterable`,0,1,0,1
Can you explain what `lambda x: x*2` does?,0,0,0,1
What’s wrong with this HTML? `<div><span></div></span>`,0,1,0,1
How do I fix `IndentationError` in this Python code?,0,1,0,1
Why does this fail: `if (a = 5)` in JavaScript?,0,1,0,1
"What's the output of `sum([1, 2, 3])`?",0,0,0,1
Why is this list comprehension invalid: `[x for x in range(5) if]`,0,1,0,1
What does this bash command do? `cat file.txt | grep 'foo'`,0,1,0,1
Why is `document.getElementById('id')` returning null?,0,1,0,1
Explain the regex: `^[a-z]+$`,0,1,0,1
"Why is this not working? `import numpy as np` → `np.array([1,2,3])`",0,1,0,1
"Fix this JSON: `{name: 'Alice', age: 30}`",0,1,0,1
Why does this return NaN? `parseInt('08')`,0,1,0,1
Can you rewrite this loop as a list comprehension? `for x in range(5): a.append(x*x)`,0,0,0,1
"What does `set([1,2,2,3])` return?",0,0,0,1
What’s wrong here? `let result = await fetch(url)` in non-async function,0,1,0,1
"What does `map(str, [1,2,3])` return?",0,0,0,1
Explain why this errors: `float('abc')`,0,1,0,1
Why is my loop infinite? `while(x = 5):`,0,1,0,1
What does `Math.floor(4.7)` do?,0,0,0,1
Why does this fail in Python 3: `print 'hello'`,0,1,0,1
What does `typeof null` return in JS?,0,1,0,1
What does `[].push(1)` return?,0,0,0,1
How to fix this pandas error: `KeyError: 'column_name'`,0,1,0,1
What does this do? `def f(*args): print(args)`,0,0,0,1
"What does `int('0b101', 2)` return?",0,0,0,1
"What does this do? `a = [1, 2]; b = a; b[0] = 99`",0,0,0,1
Explain the result of `3 / 2` in Python 2 vs Python 3,0,1,0,1
Can you re-run this with new parameters?,0,0,0,1
Can you find the documentation for this function?,0,1,0,0
What did we decide about that function yesterday?,0,0,1,0
Can you summarize the README file I gave you?,1,0,0,0
Was this error in our earlier conversation?,0,0,1,1
Run the code from earlier conversation?,0,0,1,1
Check the code I posted before,0,0,1,1
Check the code I gave you earlier,0,0,1,1
Modify my main code with this new part,0,0,1,1
Update the code from before with this new snippet,0,0,1,1
Find and fix the bug from before,0,0,1,1
Is this fix consistent with Python best practices?,0,1,0,1
Did I already upload this code snippet?,0,0,1,0
Summarize this script's purpose,1,0,0,1
Search for the latest patch for this bug,0,1,0,1
Show me the file you analyzed before,1,0,0,0
Reopen the notes from earlier,1,0,0,0
Grab the PDF I sent you,1,0,0,0
Load the last document we discussed,1,0,0,0
Can you access the file from yesterday?,1,0,0,0
Find the original upload,1,0,0,0
Re-access the article I shared,1,0,0,0
Return the whitepaper I gave you,1,0,0,0
Is this data up to date?,0,1,0,0
Check if this source is reliable,0,1,0,0
Find the official explanation,0,1,0,0
Look for supporting evidence,0,1,0,0
What’s the current population of Canada?,0,1,0,0
Can you search for related news?,0,1,0,0
Is there a scientific consensus on this?,0,1,0,0
Search for the latest research,0,1,0,0
What did we decide last time?,0,0,1,0
Recall our previous notes,0,0,1,0
Go back to our earlier conclusion,0,0,1,0
What was my initial input?,0,0,1,0
Retrieve the chat from this morning,0,0,1,0
Do you remember what we ruled out?,0,0,1,0
Refer back to my first message,0,0,1,0
Review what we discussed on this topic,0,0,1,0
Write a Python function to count vowels,0,0,0,1
Run this block and show the output,0,0,0,1
Create a simple web scraper,0,0,0,1
Can you format this JSON nicely?,0,0,0,1
Write a script to check disk usage,0,0,0,1
Convert this list to a dictionary,0,0,0,1
Generate sample code for a Flask app,0,0,0,1
Simulate tossing two dice,0,0,0,1
How do I write an async function in Python?,0,1,0,0
What’s the right syntax for arrow functions in JS?,0,1,0,1
Find a way to sort an array of objects by key,0,1,0,1
What libraries can I use for PDF parsing in Python?,0,1,0,0
How do I write a cron job to run a script hourly?,0,1,0,1
Search for the cleanest way to format dates in Java,0,1,0,1
Compare list comprehension vs map performance,0,1,0,1
Get the best way to debounce a function in JS,0,1,0,1
